"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 19","22.50","23.70","24.40","22.30","20.00M","-5.06%"
"Jan 19","23.70","23.05","25.30","23.00","29.58M","2.82%"
"Dec 18","23.05","26.50","27.10","22.50","37.15M","-12.02%"
"Nov 18","26.20","27.13","28.18","24.53","27.86M","-2.57%"
"Oct 18","26.89","25.68","28.38","23.09","37.43M","4.71%"
"Sep 18","25.68","27.99","29.82","25.59","29.94M","-7.96%"
"Aug 18","27.90","30.59","31.69","27.56","55.20M","-11.99%"
"Jul 18","31.70","30.30","33.05","30.20","25.19M","4.62%"
"Jun 18","30.30","28.50","31.65","28.15","49.77M","5.94%"
"May 18","28.60","30.70","30.70","27.50","32.33M","-7.29%"
"Apr 18","30.85","30.50","32.85","29.55","26.30M","1.82%"
"Mar 18","30.30","37.05","37.40","29.60","55.11M","-17.66%"
"Feb 18","36.80","37.90","38.50","35.15","42.44M","-2.90%"
"Jan 18","37.90","37.00","39.10","36.00","47.38M","2.99%"
"Dec 17","36.80","36.00","39.10","34.85","67.10M","2.22%"
"Nov 17","36.00","42.55","42.60","34.70","63.42M","-15.29%"
"Oct 17","42.50","46.70","46.70","40.05","44.22M","-8.99%"
"Sep 17","46.70","43.00","50.00","43.00","43.63M","7.60%"
"Aug 17","43.40","41.15","43.75","39.92","67.25M","5.52%"
"Jul 17","41.13","38.94","42.56","38.77","92.92M","5.62%"
"Jun 17","38.94","38.34","40.04","38.14","92.28M","1.56%"
"May 17","38.34","36.15","39.79","36.11","95.77M","6.06%"
"Apr 17","36.15","35.81","37.71","35.81","53.79M","0.95%"